Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  2,740,200 ptrs | 2,166,572 records | 10227 ptr/s | 0 inv-err
  2,741,600 ptrs | 2,167,517 records | 10227 ptr/s | 0 inv-err
  2,756,200 ptrs | 2,177,850 records | 10219 ptr/s | 0 inv-err
  2,761,800 ptrs | 2,181,741 records | 10222 ptr/s | 0 inv-err
  2,767,800 ptrs | 2,186,073 records | 10218 ptr/s | 0 inv-err
  2,787,600 ptrs | 2,200,281 records | 10224 ptr/s | 0 inv-err
  2,803,200 ptrs | 2,211,350 records | 10220 ptr/s | 0 inv-err
  2,812,400 ptrs | 2,217,932 records | 10205 ptr/s | 0 inv-err
  2,821,000 ptrs | 2,224,167 records | 10207 ptr/s | 0 inv-err
  2,832,400 ptrs | 2,232,257 records | 10214 ptr/s | 0 inv-err
  2,843,800 ptrs | 2,240,358 records | 10217 ptr/s | 0 inv-err
  2,846,000 ptrs | 2,241,846 records | 10216 ptr/s | 0 inv-err
  2,860,000 ptrs | 2,251,828 records | 10212 ptr/s | 0 inv-err
  2,869,800 ptrs | 2,258,797 records | 10208 ptr/s | 0 inv-err
  2,878,000 ptrs | 2,264,597 records | 10208 ptr/s | 0 inv-err
  2,889,400 ptrs | 2,272,728 records | 10201 ptr/s | 0 inv-err
  2,902,200 ptrs | 2,281,833 records | 10204 ptr/s | 0 inv-err
  2,915,600 ptrs | 2,291,377 records | 10189 ptr/s | 0 inv-err
  2,928,000 ptrs | 2,300,253 records | 10198 ptr/s | 0 inv-err
  2,936,400 ptrs | 2,306,350 records | 10199 ptr/s | 0 inv-err
  2,943,800 ptrs | 2,311,589 records | 10202 ptr/s | 0 inv-err
  2,952,000 ptrs | 2,317,431 records | 10190 ptr/s | 0 inv-err
  2,955,200 ptrs | 2,319,725 records | 10192 ptr/s | 0 inv-err
  2,968,200 ptrs | 2,328,876 records | 10186 ptr/s | 0 inv-err
  2,972,000 ptrs | 2,331,513 records | 10186 ptr/s | 0 inv-err
  2,982,000 ptrs | 2,338,677 records | 10197 ptr/s | 0 inv-err
  3,003,400 ptrs | 2,353,859 records | 10182 ptr/s | 0 inv-err
  3,006,000 ptrs | 2,355,658 records | 10185 ptr/s | 0 inv-err
  3,010,200 ptrs | 2,358,651 records | 10176 ptr/s | 0 inv-err
  3,043,200 ptrs | 2,382,152 records | 10178 ptr/s | 0 inv-err
  3,043,600 ptrs | 2,382,466 records | 10179 ptr/s | 0 inv-err
  3,051,400 ptrs | 2,388,103 records | 10180 ptr/s | 0 inv-err
  3,064,400 ptrs | 2,397,574 records | 10183 ptr/s | 0 inv-err
  3,066,800 ptrs | 2,399,219 records | 10180 ptr/s | 0 inv-err
  3,081,600 ptrs | 2,409,552 records | 10176 ptr/s | 0 inv-err
  3,086,000 ptrs | 2,412,758 records | 10172 ptr/s | 0 inv-err
  3,088,800 ptrs | 2,414,791 records | 10172 ptr/s | 0 inv-err
  3,093,600 ptrs | 2,418,316 records | 10175 ptr/s | 0 inv-err
  3,106,200 ptrs | 2,427,186 records | 10179 ptr/s | 0 inv-err
  3,150,400 ptrs | 2,458,851 records | 10153 ptr/s | 0 inv-err
  3,151,800 ptrs | 2,459,810 records | 10152 ptr/s | 0 inv-err
  3,156,000 ptrs | 2,462,797 records | 10153 ptr/s | 0 inv-err
  3,178,400 ptrs | 2,478,774 records | 10129 ptr/s | 0 inv-err
  3,183,000 ptrs | 2,482,158 records | 10130 ptr/s | 0 inv-err
  3,183,800 ptrs | 2,482,705 records | 10131 ptr/s | 0 inv-err
  3,187,400 ptrs | 2,485,276 records | 10132 ptr/s | 0 inv-err
  3,206,600 ptrs | 2,498,998 records | 10147 ptr/s | 0 inv-err
  3,209,600 ptrs | 2,501,141 records | 10149 ptr/s | 0 inv-err
  3,222,600 ptrs | 2,510,383 records | 10136 ptr/s | 0 inv-err
  3,231,400 ptrs | 2,516,671 records | 10126 ptr/s | 0 inv-err
  3,236,800 ptrs | 2,520,508 records | 10128 ptr/s | 0 inv-err
  3,261,200 ptrs | 2,537,864 records | 10135 ptr/s | 0 inv-err
  3,261,400 ptrs | 2,538,010 records | 10136 ptr/s | 0 inv-err
  3,277,400 ptrs | 2,549,311 records | 10113 ptr/s | 0 inv-err
  3,284,600 ptrs | 2,554,462 records | 10118 ptr/s | 0 inv-err
  3,295,200 ptrs | 2,562,019 records | 10127 ptr/s | 0 inv-err
  3,303,800 ptrs | 2,568,142 records | 10132 ptr/s | 0 inv-err
  3,312,200 ptrs | 2,574,070 records | 10130 ptr/s | 0 inv-err
  3,314,600 ptrs | 2,575,657 records | 10124 ptr/s | 0 inv-err
  3,340,800 ptrs | 2,594,380 records | 10114 ptr/s | 0 inv-err
  3,346,600 ptrs | 2,598,529 records | 10119 ptr/s | 0 inv-err
  3,350,200 ptrs | 2,601,116 records | 10121 ptr/s | 0 inv-err
  3,359,000 ptrs | 2,607,253 records | 10116 ptr/s | 0 inv-err
  3,367,600 ptrs | 2,613,367 records | 10105 ptr/s | 0 inv-err
  3,387,000 ptrs | 2,627,321 records | 10100 ptr/s | 0 inv-err
  3,393,200 ptrs | 2,631,646 records | 10102 ptr/s | 0 inv-err
  3,393,800 ptrs | 2,632,093 records | 10102 ptr/s | 0 inv-err
  3,398,000 ptrs | 2,635,039 records | 10102 ptr/s | 0 inv-err
  3,418,400 ptrs | 2,649,540 records | 10080 ptr/s | 0 inv-err
  3,425,200 ptrs | 2,654,481 records | 10080 ptr/s | 0 inv-err
  3,438,000 ptrs | 2,663,647 records | 10071 ptr/s | 0 inv-err
  3,446,000 ptrs | 2,669,461 records | 10073 ptr/s | 0 inv-err
  3,464,200 ptrs | 2,682,359 records | 10067 ptr/s | 0 inv-err
  3,469,200 ptrs | 2,685,794 records | 10060 ptr/s | 0 inv-err
  3,470,000 ptrs | 2,686,368 records | 10059 ptr/s | 0 inv-err
  3,484,000 ptrs | 2,696,526 records | 10051 ptr/s | 0 inv-err
  3,496,600 ptrs | 2,705,411 records | 10062 ptr/s | 0 inv-err
  3,505,200 ptrs | 2,711,640 records | 10054 ptr/s | 0 inv-err
  3,516,400 ptrs | 2,719,565 records | 10034 ptr/s | 0 inv-err
  3,532,200 ptrs | 2,730,950 records | 10044 ptr/s | 0 inv-err
  3,543,800 ptrs | 2,739,241 records | 10047 ptr/s | 0 inv-err
  3,555,600 ptrs | 2,747,511 records | 10033 ptr/s | 0 inv-err
  3,575,600 ptrs | 2,761,829 records | 10035 ptr/s | 0 inv-err
  3,577,400 ptrs | 2,763,116 records | 10036 ptr/s | 0 inv-err
  3,585,600 ptrs | 2,769,002 records | 10045 ptr/s | 0 inv-err
  3,594,400 ptrs | 2,775,216 records | 10048 ptr/s | 0 inv-err
  3,595,200 ptrs | 2,775,783 records | 10049 ptr/s | 0 inv-err
  3,606,000 ptrs | 2,783,462 records | 10032 ptr/s | 0 inv-err
  3,614,200 ptrs | 2,789,354 records | 10027 ptr/s | 0 inv-err
  3,631,600 ptrs | 2,801,858 records | 10042 ptr/s | 0 inv-err
