Lambda concurrency limit 1000 -> driving at 250 concurrent (raise the quota to go faster)
  2,768,400 ptrs | 1,408,310 records | 8354 ptr/s | 2 inv-err
  2,783,000 ptrs | 1,416,135 records | 8355 ptr/s | 2 inv-err
  2,803,200 ptrs | 1,426,506 records | 8366 ptr/s | 2 inv-err
  2,804,400 ptrs | 1,427,161 records | 8367 ptr/s | 2 inv-err
  2,807,400 ptrs | 1,428,637 records | 8371 ptr/s | 2 inv-err
  2,808,000 ptrs | 1,428,916 records | 8370 ptr/s | 2 inv-err
  2,814,800 ptrs | 1,432,368 records | 8373 ptr/s | 2 inv-err
  2,829,400 ptrs | 1,439,610 records | 8384 ptr/s | 2 inv-err
  2,832,800 ptrs | 1,441,379 records | 8385 ptr/s | 2 inv-err
  2,845,000 ptrs | 1,447,657 records | 8386 ptr/s | 2 inv-err
  2,860,800 ptrs | 1,455,911 records | 8388 ptr/s | 2 inv-err
  2,865,600 ptrs | 1,458,384 records | 8397 ptr/s | 2 inv-err
  2,869,000 ptrs | 1,460,090 records | 8397 ptr/s | 2 inv-err
  2,876,000 ptrs | 1,463,679 records | 8396 ptr/s | 2 inv-err
  2,877,600 ptrs | 1,464,521 records | 8400 ptr/s | 2 inv-err
  2,889,800 ptrs | 1,470,606 records | 8414 ptr/s | 2 inv-err
  2,906,800 ptrs | 1,479,235 records | 8404 ptr/s | 2 inv-err
  2,915,200 ptrs | 1,483,565 records | 8404 ptr/s | 2 inv-err
  2,937,800 ptrs | 1,495,332 records | 8361 ptr/s | 2 inv-err
  2,939,400 ptrs | 1,496,045 records | 8365 ptr/s | 2 inv-err
  2,944,600 ptrs | 1,498,780 records | 8364 ptr/s | 2 inv-err
  2,951,400 ptrs | 1,502,094 records | 8357 ptr/s | 2 inv-err
  2,961,000 ptrs | 1,506,851 records | 8344 ptr/s | 2 inv-err
  2,981,200 ptrs | 1,516,854 records | 8270 ptr/s | 2 inv-err
  2,993,000 ptrs | 1,522,684 records | 8269 ptr/s | 2 inv-err
  3,009,400 ptrs | 1,531,285 records | 8288 ptr/s | 2 inv-err
  3,012,000 ptrs | 1,532,584 records | 8291 ptr/s | 2 inv-err
  3,017,400 ptrs | 1,535,570 records | 8297 ptr/s | 2 inv-err
  3,027,800 ptrs | 1,540,983 records | 8300 ptr/s | 2 inv-err
  3,037,400 ptrs | 1,546,374 records | 8302 ptr/s | 2 inv-err
  3,045,000 ptrs | 1,550,141 records | 8298 ptr/s | 2 inv-err
  3,058,400 ptrs | 1,557,134 records | 8312 ptr/s | 2 inv-err
  3,079,800 ptrs | 1,567,716 records | 8329 ptr/s | 2 inv-err
  3,080,600 ptrs | 1,568,051 records | 8327 ptr/s | 2 inv-err
  3,082,200 ptrs | 1,568,940 records | 8329 ptr/s | 2 inv-err
  3,093,800 ptrs | 1,574,979 records | 8332 ptr/s | 2 inv-err
  3,123,400 ptrs | 1,589,902 records | 8354 ptr/s | 2 inv-err
  3,134,400 ptrs | 1,595,779 records | 8359 ptr/s | 2 inv-err
  3,138,200 ptrs | 1,597,658 records | 8360 ptr/s | 2 inv-err
  3,139,400 ptrs | 1,598,249 records | 8361 ptr/s | 2 inv-err
  3,145,200 ptrs | 1,601,083 records | 8365 ptr/s | 2 inv-err
  3,146,600 ptrs | 1,601,830 records | 8365 ptr/s | 2 inv-err
  3,163,000 ptrs | 1,610,321 records | 8377 ptr/s | 2 inv-err
  3,167,200 ptrs | 1,612,370 records | 8380 ptr/s | 2 inv-err
  3,188,400 ptrs | 1,623,155 records | 8389 ptr/s | 2 inv-err
  3,199,400 ptrs | 1,628,702 records | 8396 ptr/s | 2 inv-err
  3,201,600 ptrs | 1,629,875 records | 8397 ptr/s | 2 inv-err
  3,218,600 ptrs | 1,638,524 records | 8402 ptr/s | 2 inv-err
  3,221,600 ptrs | 1,640,198 records | 8399 ptr/s | 2 inv-err
  3,226,800 ptrs | 1,642,881 records | 8404 ptr/s | 2 inv-err
  3,241,200 ptrs | 1,650,014 records | 8409 ptr/s | 2 inv-err
  3,262,200 ptrs | 1,660,720 records | 8428 ptr/s | 2 inv-err
  3,272,800 ptrs | 1,666,021 records | 8427 ptr/s | 2 inv-err
  3,278,000 ptrs | 1,668,535 records | 8427 ptr/s | 2 inv-err
  3,287,600 ptrs | 1,673,732 records | 8433 ptr/s | 2 inv-err
  3,293,800 ptrs | 1,676,985 records | 8436 ptr/s | 2 inv-err
  3,315,400 ptrs | 1,688,088 records | 8443 ptr/s | 2 inv-err
  3,318,200 ptrs | 1,689,362 records | 8444 ptr/s | 2 inv-err
  3,326,400 ptrs | 1,693,445 records | 8445 ptr/s | 2 inv-err
  3,333,400 ptrs | 1,696,914 records | 8442 ptr/s | 2 inv-err
  3,338,000 ptrs | 1,699,274 records | 8440 ptr/s | 2 inv-err
  3,354,200 ptrs | 1,707,949 records | 8432 ptr/s | 2 inv-err
  3,367,600 ptrs | 1,714,896 records | 8428 ptr/s | 2 inv-err
  3,381,400 ptrs | 1,721,817 records | 8416 ptr/s | 2 inv-err
  3,401,600 ptrs | 1,732,232 records | 8385 ptr/s | 2 inv-err
  3,402,600 ptrs | 1,732,774 records | 8385 ptr/s | 2 inv-err
  3,409,600 ptrs | 1,736,201 records | 8378 ptr/s | 2 inv-err
  3,417,600 ptrs | 1,740,329 records | 8373 ptr/s | 2 inv-err
  3,419,800 ptrs | 1,741,329 records | 8370 ptr/s | 2 inv-err
  3,441,400 ptrs | 1,752,342 records | 8382 ptr/s | 2 inv-err
  3,455,400 ptrs | 1,759,109 records | 8400 ptr/s | 2 inv-err
  3,456,000 ptrs | 1,759,416 records | 8400 ptr/s | 2 inv-err
  3,468,600 ptrs | 1,765,593 records | 8399 ptr/s | 2 inv-err
  3,488,400 ptrs | 1,775,959 records | 8409 ptr/s | 2 inv-err
  3,496,000 ptrs | 1,779,955 records | 8416 ptr/s | 2 inv-err
  3,496,600 ptrs | 1,780,219 records | 8418 ptr/s | 2 inv-err
  3,510,000 ptrs | 1,786,805 records | 8420 ptr/s | 2 inv-err
  3,512,800 ptrs | 1,788,165 records | 8420 ptr/s | 2 inv-err
  3,530,400 ptrs | 1,797,139 records | 8428 ptr/s | 2 inv-err
  3,534,000 ptrs | 1,798,840 records | 8429 ptr/s | 2 inv-err
  3,536,000 ptrs | 1,799,839 records | 8432 ptr/s | 2 inv-err
  3,567,600 ptrs | 1,815,320 records | 8443 ptr/s | 2 inv-err
  3,568,400 ptrs | 1,815,713 records | 8443 ptr/s | 2 inv-err
  3,580,200 ptrs | 1,821,808 records | 8450 ptr/s | 2 inv-err
  3,593,800 ptrs | 1,828,879 records | 8458 ptr/s | 2 inv-err
  3,596,600 ptrs | 1,830,378 records | 8461 ptr/s | 2 inv-err
  3,616,800 ptrs | 1,840,479 records | 8469 ptr/s | 2 inv-err
  3,623,400 ptrs | 1,843,907 records | 8474 ptr/s | 2 inv-err
  3,643,400 ptrs | 1,854,449 records | 8478 ptr/s | 2 inv-err
  3,643,800 ptrs | 1,854,645 records | 8479 ptr/s | 2 inv-err
  3,644,600 ptrs | 1,855,030 records | 8479 ptr/s | 2 inv-err
  3,649,000 ptrs | 1,857,452 records | 8483 ptr/s | 2 inv-err
  3,665,800 ptrs | 1,866,053 records | 8490 ptr/s | 2 inv-err
