Name,Website,Country,Spider,Source,Count,Type,All the places Most Recent Link
Barrhead Travel,barrheadtravel.co.uk,gb,barrhead_travel_gb,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,45,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/barrhead_travel_gb.geojson
Extreme Intimo,extremeintimo.com,,extreme_intimo,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,26,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/extreme_intimo.geojson
Cintas,cintas.com,,cintas,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,515,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/cintas.geojson
Afc Urgent Care,afcurgentcare.com,,afc_urgent_care,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,437,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/afc_urgent_care.geojson
Premierurgentcare,premierurgentcare.com,,premierurgentcare,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,7,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/premierurgentcare.geojson
Away Resorts,awayresorts.co.uk,,away_resorts,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,26,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/away_resorts.geojson
Pho,phohoa.co.uk,gb,pho_gb,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,53,Franchise,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/pho_gb.geojson
Jazen Tea,jazentea.com,us,jazen_tea_ca_us,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,,Franchise,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/jazen_tea_ca_us.geojson
7 Brew,7brew.com,us,7_brew_us,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,561,Franchise,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/7_brew_us.geojson
Seven Eleven,7-eleven.com,us,seven_eleven_ca_us,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,"15,489",Franchise,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/seven_eleven_ca_us.geojson
Seven Eleven,7-eleven.com.au,au,seven_eleven_au,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,765,Franchise,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/seven_eleven_au.geojson
AAA,aaa.com,us,aaa_ca_us,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/aaa_ca_us.geojson
Aarons,aarons.com,us,aarons,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,"1,158",Franchise,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/aarons.geojson
Abbott's Frozen Custard,abbottscustard.com,us,abbotts_frozen_custard_us,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,36,Franchise,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/abbotts_frozen_custard_us.geojson
Abercrombie & Fitch,abercrombie.com,,abercrombie_and_fitch,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,426,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/abercrombie_and_fitch.geojson
Academy,academy.com,us,academy_us,https://alltheplaces.xyz/spiders.html?page_length=-1&num_runs=1,343,,https://alltheplaces-data.openaddresses.io/runs/2026-07-18-13-32-19/output/academy_us.geojson
